Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Massachusetts,US,20-07-2020 19:35,42.2302,-71.5301,113534,8431,95390,9713,25,1647.210019,1040535,11717,7.425969313,84000025,USA,15096.6202,10.32025649
Michigan,US,20-07-2020 19:35,43.3266,-84.5361,82395,6373,55162,20860,26,825.0343426,1484459,,7.734692639,84000026,USA,14864.12592,
Minnesota,US,20-07-2020 19:35,45.6945,-93.9002,47107,1585,40001,5521,27,835.2849973,853188,4627,3.364680408,84000027,USA,15128.43391,9.822319401
Mississippi,US,20-07-2020 19:35,32.7416,-89.6787,43889,1358,25932,16599,28,1474.690951,378077,3727,3.094169382,84000028,USA,12703.56424,8.491877236
Missouri,US,20-07-2020 19:35,38.4561,-92.2884,34055,1139,,32916,29,554.8741264,559079,,3.344589634,84000029,USA,9109.337006,
Montana,US,20-07-2020 19:35,46.9219,-110.4544,2620,39,1075,1506,30,245.1397765,133159,165,1.488549618,84000030,USA,12458.99523,6.297709924
Nebraska,US,20-07-2020 19:35,41.1254,-98.2681,22583,301,16801,5481,31,1167.437273,232401,1481,1.332861002,84000031,USA,12014.06322,6.558030377
Nevada,US,20-07-2020 19:35,38.3135,-117.0554,36713,648,842,35223,32,1191.920149,389788,,1.765042356,84000032,USA,12654.81359,
New Hampshire,US,20-07-2020 19:35,43.4525,-71.5639,6203,398,5251,554,33,456.1998837,143378,673,6.416250202,84000033,USA,10544.74076,10.84958891
New Jersey,US,20-07-2020 19:35,40.2989,-74.521,176963,15715,31405,129843,34,1992.335224,1791137,21064,8.880387426,84000034,USA,20165.48847,11.90305318
New Mexico,US,20-07-2020 19:35,34.8405,-106.2485,16971,571,6736,9664,35,809.3649983,460664,2364,3.364563078,84000035,USA,21969.55498,13.92964469
New York,US,20-07-2020 19:35,42.1657,-74.9481,407326,32506,72161,302659,36,2093.83773,5115470,89995,7.980340072,84000036,USA,26295.8026,22.09409662
North Carolina,US,20-07-2020 19:35,35.6301,-79.8064,101231,1677,67124,32430,37,965.2001262,1394864,,1.656607166,84000037,USA,13299.51209,
North Dakota,US,20-07-2020 19:35,47.5289,-99.784,5126,93,4131,902,38,672.6486821,133854,302,1.81428014,84000038,USA,17564.71258,5.891533359
Northern Mariana Islands,US,20-07-2020 19:35,15.0979,145.6739,37,2,29,6,69,67.09705498,10701,4,5.405405405,580,MNP,19405.55636,10.81081081
Ohio,US,20-07-2020 19:35,40.3888,-82.7649,76162,3188,51086,21888,39,651.5642778,1162914,9555,4.185814448,84000039,USA,9948.704348,12.54562643
Oklahoma,US,20-07-2020 19:35,35.5653,-96.9289,25436,452,19466,5518,40,642.8149208,475940,2388,1.777008964,84000040,USA,12027.88699,9.388268596
Oregon,US,20-07-2020 19:35,44.572,-122.0709,14579,260,3225,11094,41,345.6592955,335590,1327,1.783387064,84000041,USA,7956.636462,9.102133205
Pennsylvania,US,20-07-2020 19:35,40.5908,-77.2098,101738,7018,76780,17940,42,794.7046354,1027379,,6.898110834,84000042,USA,8025.151404,
Puerto Rico,US,20-07-2020 19:35,18.2208,-66.5901,12461,180,,12281,72,424.7960052,204749,,1.444506861,630,PRI,6979.901875,
Rhode Island,US,20-07-2020 19:35,41.6809,-71.5118,17904,995,1717,15192,44,1690.075432,179201,2088,5.557417337,84000044,USA,16915.95216,11.66219839
South Carolina,US,20-07-2020 19:35,33.8569,-80.945,71445,1164,22553,47728,45,1387.628056,577386,4182,1.629225278,84000045,USA,11214.17892,5.853453706
South Dakota,US,20-07-2020 19:35,44.2998,-99.4388,7943,118,6952,873,46,897.8600794,98087,774,1.485584792,84000046,USA,11087.54899,9.744429057
Tennessee,US,20-07-2020 19:35,35.7478,-86.6923,79754,847,44319,34588,47,1167.842553,1197297,3681,1.062015698,84000047,USA,17532.091,4.615442486
Texas,US,20-07-2020 19:35,31.0545,-97.5635,336301,4014,172936,159351,48,1159.823356,2932364,,1.193573614,84000048,USA,10113.0364,
Utah,US,20-07-2020 19:35,40.15,-111.8624,34526,247,20915,13364,49,1076.932387,462822,2033,0.715402885,84000049,USA,14436.3089,5.888316052
Vermont,US,20-07-2020 19:35,44.0459,-72.7107,1360,56,1137,167,50,217.9525601,82500,,4.117647059,84000050,USA,13221.38692,
Virgin Islands,US,20-07-2020 19:35,18.3358,-64.8963,297,6,135,156,78,276.8766081,6884,,2.02020202,850,VIR,6417.570944,
Virginia,US,20-07-2020 19:35,37.7693,-78.17,78375,2031,10017,66327,51,918.2218445,907363,11203,2.59138756,84000051,USA,10630.43735,14.29409888
Washington,US,20-07-2020 19:35,47.4009,-121.4905,46946,1447,,45499,53,616.5024249,791786,5033,3.08226473,84000053,USA,10397.86114,10.72082819
