Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Zabaykalsky Krai,Russia,20-07-2020 19:35,52.248521,115.956325,3927,47,3155,725,,366.0494069,,,1.196842373,64383,RUS,,
Zacatecas,Mexico,20-07-2020 19:35,22.7709,-102.5832,1873,164,1185,524,,112.39623,,,8.756006407,48432,MEX,,
Zakarpattia Oblast,Ukraine,20-07-2020 19:35,48.6208,22.2879,4440,155,1554,2731,,353.2776046,,,3.490990991,80425,UKR,,
Zaporizhia Oblast,Ukraine,20-07-2020 19:35,47.8388,35.1396,678,20,551,107,,39.74590758,,,2.949852507,80426,UKR,,
Zeeland,Netherlands,20-07-2020 19:35,51.47936,3.861559,791,69,,722,,206.2646028,,,8.723135272,52811,NLD,,
Zhejiang,China,20-07-2020 19:35,29.1832,120.0934,1270,1,1267,2,,2.21370054,,,0.078740157,15631,CHN,,
Zhytomyr Oblast,Ukraine,20-07-2020 19:35,50.2547,28.6587,1602,34,1251,317,,131.2907057,,,2.122347066,80427,UKR,,
Zuid-Holland,Netherlands,20-07-2020 19:35,51.937835,4.462114,11886,1305,,10581,,320.4900051,,,10.97930338,52812,NLD,,
Unknown,India,20-07-2020 19:35,,,163,0,,163,,,,,0,35636,IND,,
Unknown,Colombia,20-07-2020 19:35,,,0,0,,0,,,,,,17034,COL,,
Diamond Princess,Canada,20-07-2020 19:35,,,0,1,,-1,,,,,,12413,CAN,,
Grand Princess,Canada,20-07-2020 19:35,,,13,0,13,0,,,,,0,12414,CAN,,
